District_Original,District_Mapped,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology
PASCHIM MEDIN|PUR,PASCHIM MEDINIPUR,Paschim Medinipur,West Bengal,11.528253098893536,48.31017452990188,-4.795360674646702,48.53030395796118,38.09361980491548,3.4233532346234252,Low Coverage Low Disruption (Resilient)
PATH>NKOT,PATHANKOT,Pathankot,Punjab,21.22333228862822,82.45006153985308,-6.011899515155626,22.01550039840947,76.47422972410803,6.042568429408461,High Coverage High Disruption (Reliability Gap)
PATI>LA,PATIALA,Patiala,Punjab,13.797568566451304,80.26279995207808,-13.25123686762809,22.217140765941124,76.06124358256231,5.823699390048599,High Coverage Low Disruption (Success)
PATNA,PATNA,Patna,Bihar,14.920768732872904,30.96847934628204,-4.162478959732953,42.40103216639285,57.03486862995703,3.5019499947333,Low Coverage Low Disruption (Resilient)
PITHOR>GARH,PITHORAGARH,Pithoragarh,Uttarakhand,12.514782148071536,97.72198897649628,-10.622155406811654,33.99878681867347,54.64385604609296,6.070792351582098,High Coverage Low Disruption (Success)
PUNE,PUNE,Pune,Maharashtra,25.830082481004148,88.30371016620717,1.7513824869922914,24.539181379156304,70.7484666150593,6.280054128715928,High Coverage High Disruption (Reliability Gap)
P@RBI CHAMP>RAN,PURBA CHAMPARAN,Purba Champaran,Bihar,4.344241171858293,4.91424876463994,-11.243872458809712,60.57539061784551,46.338877700441714,1.7034451081308244,Low Coverage Low Disruption (Resilient)
P@RNIA,PURNEA,,,,,,,,,
PURULIYA,PURULIA,,,,,,,,,
R>YGAD,RAIGARH,Raigarh,Maharashtra,30.207493441834178,89.4502126782586,7.242253593879081,35.134837927061035,63.60572663554151,5.890659658670235,High Coverage High Disruption (Reliability Gap)
R>YGAD,RAIGARH,Raigarh,Chhattisgarh,12.89214268772652,51.01993459385571,-5.930934188182057,48.9912209926841,47.69504742930364,3.5724722270872844,Low Coverage Low Disruption (Resilient)
RANGAREDDY,RANGAREDDY,,,,,,,,,
RATN>GIRI,RATNAGIRI,Ratnagiri,Maharashtra,16.246094181848683,83.52889960711634,-5.1419592532125655,42.811526229250056,56.767459676549194,5.383776583988,High Coverage Low Disruption (Success)
REW>RI,REWARI,Rewari,Haryana,26.89034403130667,78.118206900839,0.0483174611321359,26.247472290173143,72.25098846193198,5.465181519516593,High Coverage High Disruption (Reliability Gap)
ROHTAK,ROHTAK,Rohtak,Haryana,25.94018214248484,68.7448980769388,-0.1586771476713622,24.085772007619724,69.70270572780721,5.080845828160488,High Coverage High Disruption (Reliability Gap)
ROHT>S,ROHTAS,Rohtas,Bihar,12.12677753589204,7.5710591417798385,-6.145640602107999,53.070179183617824,53.17375411767404,2.3713175170668657,Low Coverage Low Disruption (Resilient)
R@PNAGAR,RUPNAGAR,Rupnagar,Punjab,12.66964002897526,81.8815097238096,-15.61713628608792,25.572168221465738,78.24873811755107,5.690985253235832,High Coverage Low Disruption (Success)
SAHARSA,SAHARSA,Saharsa,Bihar,5.555790641476904,6.095188474739579,-8.795139831024002,62.83733987064937,43.404232892468606,1.8562205590535328,Low Coverage Low Disruption (Resilient)
SAMAST|PUR,SAMASTIPUR,Samastipur,Bihar,10.481256066275977,15.75814575231529,-4.618936787422635,63.21079628504859,43.90396190520539,2.2057053222599343,Low Coverage Low Disruption (Resilient)
S>NGLI,SANGLI,Sangli,Maharashtra,21.898429204116912,79.33271604194007,-1.2593406415696116,36.24979309159238,64.45663786976026,5.343734757300921,High Coverage High Disruption (Reliability Gap)
SANGR@R,SANGRUR,Sangrur,Punjab,11.28503269002349,60.610977183304094,-16.171767709501566,26.153969137377725,76.31009641481182,4.751756893467548,High Coverage Low Disruption (Success)
S>RAN,SARAN,Saran,Bihar,18.083848141108277,25.86514271710113,1.4931712871468292,55.8494339652053,47.81213478988419,2.854448044068849,Low Coverage High Disruption (Traditional Vulnerability)
SAS NAGAR (SAH|BZ>DA AJ|T SINGH NAGAR),SAS NAGAR,,,,,,,,,
S>T>RA,SATARA,Satara,Maharashtra,28.25608717388308,85.65166154218159,5.358466531684911,37.5642461376569,62.460079305767366,5.587544375999629,High Coverage High Disruption (Reliability Gap)
SEN>PATI,SENAPATI,Senapati,Manipur,18.47215126825204,41.92318045425744,-0.9295413570910008,47.40352396934668,48.366520708957786,2.998250045982435,Low Coverage High Disruption (Traditional Vulnerability)
SHEIKHPURA,SEIKHPURA,,,,,,,,,
SHEOHAR,SHEOHAR,Sheohar,Bihar,6.228002591877715,9.070615421335711,-9.016791062419449,62.036397409037555,43.00745561510914,1.9403141094977032,Low Coverage Low Disruption (Resilient)
SINDHUDURG,SINDHUDURG,Sindhudurg,Maharashtra,12.844892350979215,62.063410321921666,-9.705981607671372,41.67196098462357,61.697758020867795,4.309118377872583,High Coverage Low Disruption (Success)
SIRSA,SIRSA,Sirsa,Haryana,31.41300762982674,93.03931427330672,5.327253943491453,30.200079258984744,69.63788328269857,6.02474694027736,High Coverage High Disruption (Reliability Gap)
S|T>MARHI,SITAMARHI,Sitamarhi,Bihar,9.903031764537834,1.186638031980917,-4.7891384871593345,64.13933524227775,42.438556640182085,1.4003941803895148,Low Coverage Low Disruption (Resilient)
SIW>N,SIWAN,Siwan,Bihar,4.30050652901496,5.867465992611278,-13.367611277766407,56.031115394794774,51.83142824989822,1.9841975206188716,Low Coverage Low Disruption (Resilient)
SOL>PUR,SOLAPUR,Solapur,Maharashtra,47.994846315513485,70.31782820931811,28.38076706566172,42.26999274631034,55.54782157622354,4.891611977544045,High Coverage High Disruption (Reliability Gap)
SON|PAT,SONIPAT,Sonipat,Haryana,17.212384027244617,65.1600063900887,-9.617429920491908,23.997004265176404,70.9623927772582,5.09113956054039,High Coverage High Disruption (Reliability Gap)
SOUTH TWENTY-FOUR PARGANAS,SOUTH 24 PARGANAS,,,,,,,,,
