residence,Piped — Into Dwelling,Piped — Neighbour/Shared,Piped — Public Tap/Standpipe,Piped — Yard/Plot,Tube Well/Borehole,All Piped avg (%),Piped−TW diff (pp),Piped÷TW RR
Rural,26.3,26.8,23.6,29.7,10.5,26.6,16.1,2.53
Urban,22.1,24.8,24.5,29.7,10.5,25.3,14.8,2.41
