district_code,state_name,region,n_households,observed_disruption,expected_disruption,rgi,rgi_ci_lower,rgi_ci_upper,rgi_category,typology,piped_coverage,tube_well_coverage,mean_idi,mean_idi_ci_lower,mean_idi_ci_upper,piped_disruption_rate,tube_well_disruption_rate,paradox_ratio,mean_wealth_score,pct_urban,pct_monsoon
471.0,Gujarat,West,808,33.22,31.91,1.31,-0.49,3.49,As Expected,CRISIS,83.04,10.55,60.66,52.29,69.3,35.9,19.92,1.8,185368.04,29.15,1.0
473.0,Gujarat,West,852,26.48,31.04,-4.57,-6.56,-2.43,As Expected,VULNERABLE,86.74,8.23,60.03,51.55,68.67,28.4,20.19,1.41,632361.38,49.81,1.0
478.0,Gujarat,West,861,69.7,31.19,38.52,36.6,40.54,Severe Failure,CRISIS,87.7,6.76,59.33,50.85,68.0,73.4,39.86,1.84,782923.68,52.78,0.86
480.0,Gujarat,West,827,44.08,26.01,18.07,16.31,20.26,Severe Failure,CRISIS,65.98,11.68,50.59,42.27,59.33,53.46,10.01,5.34,436367.0,26.62,0.91
482.0,Gujarat,West,859,12.32,27.86,-15.54,-17.35,-13.47,Outperforming,VULNERABLE,70.9,23.93,53.41,45.63,61.79,13.72,8.81,1.56,283088.73,28.1,1.0
485.0,Gujarat,West,782,14.28,18.74,-4.46,-6.19,-2.45,As Expected,SAFE,32.01,60.21,29.42,23.38,37.5,21.83,12.11,1.8,-763257.53,12.4,1.0
487.0,Gujarat,West,862,10.14,20.48,-10.34,-11.53,-8.99,Outperforming,SAFE,51.43,46.78,41.87,35.06,50.1,11.9,8.6,1.38,-499736.46,12.0,0.53
488.0,Gujarat,West,734,27.23,27.18,0.05,-1.76,2.04,As Expected,CRISIS,67.84,13.01,54.33,46.32,62.62,30.21,32.14,0.94,222005.31,34.43,1.0
489.0,Gujarat,West,777,9.91,15.25,-5.35,-6.4,-4.35,Outperforming,SAFE,41.69,53.58,36.63,30.24,44.7,10.87,8.99,1.21,-684541.45,11.54,0.0
490.0,Gujarat,West,790,18.93,16.06,2.87,1.95,3.77,As Expected,CRISIS,47.62,26.86,45.73,38.55,53.63,19.84,19.94,1.0,256702.49,26.41,0.0
491.0,Gujarat,West,779,8.67,11.24,-2.57,-3.85,-1.34,As Expected,SAFE,34.08,32.52,40.0,33.23,47.65,12.48,6.46,1.93,335627.86,41.6,0.0
492.0,Gujarat,West,862,13.91,21.34,-7.43,-9.67,-5.15,Outperforming,VULNERABLE,77.05,14.19,53.5,45.4,62.03,15.87,4.78,3.32,841700.92,79.43,0.0
493.0,Gujarat,West,862,4.91,17.62,-12.71,-13.84,-11.6,Outperforming,SAFE,51.67,38.66,44.23,37.15,52.39,6.9,1.76,3.92,-275808.99,8.72,0.0
494.0,Dadra & NH and DD,West,900,39.73,24.72,15.01,13.19,16.67,Severe Failure,CRISIS,87.59,0.43,58.38,49.62,67.21,43.72,,,874798.07,60.73,0.0
495.0,Dadra & NH and DD,West,520,7.92,23.12,-15.21,-17.87,-12.51,Outperforming,VULNERABLE,58.65,3.89,54.48,46.45,62.53,6.8,8.96,0.76,662864.07,76.68,1.0
496.0,Dadra & NH and DD,West,760,6.71,19.21,-12.5,-13.6,-11.34,Outperforming,VULNERABLE,51.11,30.25,46.02,38.78,54.11,8.34,5.85,1.43,50609.01,39.82,0.48
497.0,Maharashtra,West,814,24.96,25.36,-0.41,-2.12,1.7,As Expected,CRISIS,58.63,37.11,47.04,39.85,55.31,36.72,8.21,4.47,-480581.46,16.76,0.99
498.0,Maharashtra,West,711,47.76,31.27,16.5,14.73,18.66,Severe Failure,CRISIS,82.49,9.1,61.53,53.15,70.07,52.09,31.67,1.64,204227.63,29.72,0.98
499.0,Maharashtra,West,801,59.15,31.54,27.61,25.94,29.75,Severe Failure,CRISIS,82.54,7.44,59.9,51.44,68.55,59.56,52.71,1.13,289145.89,29.93,0.95
500.0,Maharashtra,West,830,44.14,28.81,15.33,14.14,16.98,Severe Failure,CRISIS,74.36,12.7,57.14,49.04,65.69,52.01,17.34,3.0,160607.4,24.34,0.64
501.0,Maharashtra,West,885,56.9,30.66,26.24,24.38,28.34,Severe Failure,CRISIS,82.21,15.17,58.87,50.63,67.54,62.29,32.75,1.9,352154.09,39.43,1.0
502.0,Maharashtra,West,703,40.32,28.54,11.78,10.12,13.82,Severe Failure,CRISIS,60.87,22.95,48.85,41.39,57.24,46.14,28.73,1.61,24191.69,21.16,1.0
503.0,Maharashtra,West,873,49.01,33.74,15.27,13.39,17.46,Severe Failure,CRISIS,93.28,5.43,65.07,56.28,73.91,50.27,22.43,2.24,401194.0,35.15,1.0
504.0,Maharashtra,West,884,38.08,29.8,8.28,6.73,10.16,Moderate Failure,CRISIS,83.51,13.57,58.58,50.22,67.28,41.04,22.52,1.82,452640.48,31.93,0.78
505.0,Maharashtra,West,908,43.15,26.68,16.47,14.59,18.27,Severe Failure,CRISIS,94.58,3.85,61.73,53.0,70.55,43.14,43.39,0.99,890776.89,65.82,0.02
506.0,Maharashtra,West,847,20.47,22.01,-1.54,-2.61,-0.4,As Expected,VULNERABLE,63.34,26.82,49.55,41.95,58.05,23.58,16.08,1.47,176514.44,16.55,0.08
507.0,Maharashtra,West,871,17.11,19.49,-2.37,-3.38,-1.41,As Expected,SAFE,53.94,35.26,42.54,35.43,50.88,19.48,14.59,1.33,71494.72,17.21,0.0
508.0,Maharashtra,West,795,17.84,19.55,-1.71,-2.8,-0.7,As Expected,SAFE,49.01,37.7,40.23,33.43,48.47,22.03,15.04,1.47,-149701.76,11.32,0.01
509.0,Maharashtra,West,870,41.46,22.1,19.35,18.38,20.38,Severe Failure,CRISIS,71.66,22.78,52.14,44.26,60.67,43.86,39.34,1.11,374036.68,35.11,0.02
510.0,Maharashtra,West,809,31.64,26.18,5.47,3.66,7.48,Moderate Failure,CRISIS,58.95,26.87,48.77,41.3,57.13,39.15,26.38,1.48,99261.1,21.92,1.0
511.0,Maharashtra,West,830,28.7,22.03,6.67,5.03,8.44,Moderate Failure,RESILIENT POOR,45.65,37.25,41.02,34.05,49.23,29.35,27.76,1.06,825.64,27.4,1.0
512.0,Maharashtra,West,835,39.14,26.51,12.63,10.86,14.73,Severe Failure,CRISIS,61.32,31.9,49.41,42.02,57.73,53.71,16.85,3.19,4663.15,16.26,1.0
513.0,Maharashtra,West,742,42.91,21.99,20.92,19.36,22.73,Severe Failure,RESILIENT POOR,43.95,39.15,40.15,33.32,48.24,51.77,36.84,1.41,-35445.66,32.66,1.0
514.0,Maharashtra,West,675,46.21,29.19,17.02,15.42,18.97,Severe Failure,CRISIS,64.71,19.95,52.42,44.7,60.84,54.77,29.39,1.86,7449.95,27.63,1.0
515.0,Maharashtra,West,711,50.88,31.19,19.69,17.54,21.79,Severe Failure,CRISIS,75.86,9.5,56.61,48.39,65.14,60.01,11.47,5.23,443880.1,53.64,1.0
516.0,Maharashtra,West,797,51.94,32.28,19.66,17.7,21.72,Severe Failure,CRISIS,80.96,8.81,58.0,49.8,66.6,58.7,22.49,2.61,246775.25,45.22,1.0
518.0,Maharashtra,West,634,12.27,26.08,-13.81,-16.68,-11.0,Outperforming,VULNERABLE,99.01,0.14,62.9,54.0,71.75,12.4,,,1083186.74,100.0,0.0
519.0,Maharashtra,West,825,6.58,26.29,-19.71,-22.7,-16.77,Outperforming,VULNERABLE,99.89,0.0,61.58,52.8,70.35,6.59,,,1273014.81,100.0,0.0
520.0,Maharashtra,West,793,30.21,26.99,3.22,2.05,4.44,As Expected,CRISIS,89.45,5.87,60.75,52.18,69.44,32.15,19.64,1.64,565907.03,37.16,0.0
521.0,Maharashtra,West,704,25.83,31.01,-5.18,-7.71,-2.91,Outperforming,VULNERABLE,88.3,4.8,59.55,51.06,68.15,27.98,13.63,2.05,894349.02,68.0,1.0
522.0,Maharashtra,West,765,53.32,29.93,23.39,21.52,25.63,Severe Failure,CRISIS,71.64,17.96,52.97,45.1,61.45,66.16,23.15,2.86,319711.06,25.72,1.0
523.0,Maharashtra,West,715,42.72,26.13,16.59,15.0,18.5,Severe Failure,CRISIS,56.01,32.58,46.56,39.31,54.77,52.09,24.62,2.12,30460.5,25.48,1.0
524.0,Maharashtra,West,793,48.0,24.55,23.45,21.75,25.4,Severe Failure,CRISIS,55.96,33.89,44.98,37.8,53.19,53.71,43.17,1.24,181641.36,27.3,1.0
525.0,Maharashtra,West,784,46.45,23.82,22.63,21.36,24.31,Severe Failure,CRISIS,59.23,35.77,45.38,38.16,53.67,62.75,23.7,2.65,19181.46,17.2,0.73
526.0,Maharashtra,West,788,47.99,28.43,19.56,17.61,21.52,Severe Failure,CRISIS,70.32,22.37,52.49,44.7,60.97,63.28,12.34,5.13,111887.19,38.96,1.0
527.0,Maharashtra,West,833,28.26,33.14,-4.88,-6.81,-2.45,As Expected,VULNERABLE,85.65,9.69,60.78,52.3,69.48,30.12,17.38,1.73,315859.96,22.59,1.0
528.0,Maharashtra,West,765,16.25,32.95,-16.71,-18.65,-14.24,Outperforming,VULNERABLE,83.53,4.73,62.88,54.31,71.57,17.95,9.14,1.96,151698.18,17.2,1.0
529.0,Maharashtra,West,678,12.84,30.39,-17.54,-19.72,-15.13,Outperforming,VULNERABLE,62.06,8.39,49.23,41.37,57.78,18.32,1.56,11.73,308815.0,15.79,1.0
530.0,Maharashtra,West,844,31.64,29.19,2.45,1.22,3.9,As Expected,CRISIS,94.1,4.33,64.23,55.43,73.07,32.79,2.57,12.75,453077.1,34.79,0.21
531.0,Maharashtra,West,805,21.9,24.53,-2.63,-3.74,-1.42,As Expected,VULNERABLE,79.33,15.18,56.44,48.27,64.99,25.84,3.88,6.66,466781.93,29.7,0.0
542.0,Andhra Pradesh,South,661,21.54,27.15,-5.61,-7.36,-3.33,Outperforming,VULNERABLE,63.61,26.55,49.4,41.74,57.79,29.17,8.51,3.43,128330.93,14.3,1.0
543.0,Andhra Pradesh,South,793,30.24,29.79,0.45,-1.42,2.74,As Expected,CRISIS,76.16,22.07,55.6,47.54,64.19,36.94,8.82,4.19,-23908.53,21.24,1.0
544.0,Andhra Pradesh,South,677,20.99,29.11,-8.12,-10.15,-6.12,Outperforming,VULNERABLE,78.11,17.32,53.77,45.61,62.4,23.79,7.96,2.99,391712.3,50.67,1.0
545.0,Andhra Pradesh,South,609,25.83,29.36,-3.53,-5.35,-1.29,As Expected,VULNERABLE,75.88,18.74,55.12,47.02,63.71,30.59,11.66,2.62,187004.04,27.11,1.0
546.0,Andhra Pradesh,South,592,11.91,31.78,-19.86,-21.77,-17.45,Outperforming,VULNERABLE,84.95,10.61,59.29,50.8,67.97,13.86,1.33,10.45,419876.29,26.4,1.0
547.0,Andhra Pradesh,South,621,15.1,26.96,-11.85,-13.72,-9.84,Outperforming,VULNERABLE,69.61,25.03,50.25,42.46,58.74,17.94,7.45,2.41,318040.98,46.14,1.0
548.0,Andhra Pradesh,South,523,11.05,27.41,-16.35,-18.14,-14.28,Outperforming,VULNERABLE,70.38,20.67,53.04,45.09,61.53,14.96,0.93,16.14,300643.46,38.51,1.0
549.0,Andhra Pradesh,South,402,22.84,25.67,-2.82,-4.02,-1.19,As Expected,VULNERABLE,64.4,13.26,53.42,45.24,61.84,28.81,19.32,1.49,223453.4,26.68,0.72
550.0,Andhra Pradesh,South,519,12.84,26.5,-13.66,-14.78,-12.17,Outperforming,VULNERABLE,75.75,13.54,58.09,49.81,66.57,14.49,9.2,1.58,257400.49,28.5,0.56
551.0,Andhra Pradesh,South,640,14.88,22.29,-7.41,-8.84,-6.09,Outperforming,VULNERABLE,58.24,7.32,53.79,45.66,61.93,14.69,10.43,1.41,400832.94,30.79,0.0
552.0,Andhra Pradesh,South,731,23.74,26.23,-2.49,-3.9,-1.23,As Expected,VULNERABLE,87.94,8.5,62.76,54.05,71.59,24.58,11.6,2.12,148756.04,35.53,0.0
553.0,Andhra Pradesh,South,557,9.46,22.77,-13.32,-15.1,-11.94,Outperforming,VULNERABLE,54.24,10.98,52.98,45.08,60.99,9.33,17.59,0.53,161833.15,34.83,0.0
554.0,Andhra Pradesh,South,622,15.45,25.32,-9.87,-11.03,-8.45,Outperforming,VULNERABLE,58.69,10.8,53.93,46.01,62.01,19.23,12.96,1.48,283836.46,27.6,0.62
555.0,Karnataka,South,846,41.18,28.2,12.98,11.33,15.1,Severe Failure,CRISIS,67.89,22.33,51.6,43.8,60.11,42.05,40.65,1.03,122248.65,28.47,1.0
556.0,Karnataka,South,735,33.37,30.76,2.62,0.55,4.91,As Expected,CRISIS,82.3,6.54,66.25,57.57,74.86,34.24,30.36,1.13,-201491.35,34.56,1.0
557.0,Karnataka,South,792,41.87,27.42,14.45,12.85,16.5,Severe Failure,CRISIS,59.79,24.06,49.33,41.8,57.71,45.66,26.91,1.7,-105255.84,23.64,1.0
558.0,Karnataka,South,859,45.29,24.19,21.1,19.52,22.92,Severe Failure,CRISIS,56.53,39.97,44.8,37.66,53.15,52.53,35.31,1.49,-130882.37,25.63,0.96
559.0,Karnataka,South,759,42.74,32.72,10.02,8.05,12.3,Severe Failure,CRISIS,84.75,8.24,63.73,55.1,72.43,43.1,58.39,0.74,-108836.45,30.27,1.0
560.0,Karnataka,South,716,33.79,33.93,-0.14,-2.22,2.36,As Expected,CRISIS,88.66,5.27,68.23,59.41,77.03,33.31,41.62,0.8,-242722.21,16.57,1.0
561.0,Karnataka,South,797,41.85,32.23,9.61,7.49,11.94,Moderate Failure,CRISIS,85.61,4.37,66.56,57.83,75.24,42.81,46.73,0.92,-46566.74,43.86,1.0
562.0,Karnataka,South,740,43.28,27.36,15.92,13.95,18.0,Severe Failure,CRISIS,88.92,5.19,61.88,53.24,70.66,43.85,28.74,1.53,485610.49,68.99,0.18
563.0,Karnataka,South,835,34.15,20.6,13.55,12.04,15.08,Severe Failure,RESILIENT POOR,43.84,11.4,39.45,31.85,48.06,45.77,40.37,1.13,335158.51,27.11,0.17
564.0,Karnataka,South,820,33.58,31.98,1.6,-0.38,3.82,As Expected,CRISIS,85.48,9.36,65.14,56.43,73.93,33.31,40.23,0.83,-84296.35,24.84,1.0
565.0,Karnataka,South,808,43.6,30.42,13.18,11.28,15.2,Severe Failure,CRISIS,76.08,7.38,59.53,51.18,68.1,46.23,57.91,0.8,136187.18,40.29,0.97
566.0,Karnataka,South,776,31.53,23.01,8.52,7.49,9.66,Moderate Failure,CRISIS,72.3,17.31,56.68,48.57,65.18,27.83,41.58,0.67,150498.77,20.86,0.04
567.0,Karnataka,South,730,48.11,31.71,16.4,14.63,18.5,Severe Failure,CRISIS,84.08,4.36,63.15,54.33,71.98,48.23,51.58,0.93,214558.85,37.26,1.0
568.0,Karnataka,South,877,39.38,26.98,12.4,11.51,13.63,Severe Failure,CRISIS,79.1,7.11,56.49,48.02,65.28,39.68,55.35,0.72,424492.82,34.3,0.24
569.0,Karnataka,South,820,34.7,15.9,18.8,16.84,20.85,Severe Failure,RESILIENT POOR,25.4,16.06,30.43,23.26,38.87,46.32,37.39,1.24,510479.23,28.08,0.17
570.0,Karnataka,South,762,30.29,25.7,4.59,3.29,6.14,As Expected,CRISIS,78.9,9.77,57.56,49.1,66.3,34.61,18.26,1.9,359714.87,18.7,0.02
571.0,Karnataka,South,759,40.13,21.56,18.57,17.61,19.65,Severe Failure,CRISIS,64.46,16.84,51.35,43.43,59.8,42.01,48.19,0.87,321365.97,28.89,0.0
572.0,Karnataka,South,726,21.32,23.59,-2.27,-5.11,0.46,As Expected,VULNERABLE,88.77,2.67,58.06,49.54,66.68,21.39,13.39,1.6,1118761.57,95.7,0.0
573.0,Karnataka,South,811,37.56,25.56,12.01,10.77,13.43,Severe Failure,CRISIS,82.58,9.6,61.04,52.36,69.92,35.78,55.59,0.64,279265.5,19.63,0.0
574.0,Karnataka,South,815,42.98,23.91,19.07,18.04,20.28,Severe Failure,CRISIS,74.54,17.56,55.6,47.41,64.29,38.63,60.33,0.64,309840.7,24.58,0.02
575.0,Karnataka,South,839,39.72,20.62,19.1,17.5,20.67,Severe Failure,RESILIENT POOR,57.18,10.17,44.01,36.15,52.61,37.63,54.77,0.69,738453.91,45.69,0.0
576.0,Karnataka,South,859,37.78,19.82,17.95,16.24,19.59,Severe Failure,RESILIENT POOR,50.78,20.96,42.12,34.62,50.65,40.87,36.62,1.12,496736.72,16.82,0.0
577.0,Karnataka,South,789,34.81,26.91,7.9,6.37,9.31,Moderate Failure,CRISIS,88.67,2.4,63.06,54.28,71.91,36.22,47.04,0.77,484743.93,54.39,0.0
578.0,Karnataka,South,845,28.2,27.58,0.62,-0.84,2.11,As Expected,CRISIS,88.77,8.03,65.38,56.52,74.28,28.44,31.12,0.91,128411.98,19.27,0.03
579.0,Karnataka,South,827,51.61,27.87,23.74,21.89,25.73,Severe Failure,CRISIS,67.3,24.94,52.53,44.79,61.03,56.04,40.61,1.38,-65442.12,32.25,1.0
580.0,Karnataka,South,841,27.56,30.54,-2.98,-4.86,-0.77,As Expected,VULNERABLE,73.89,17.21,59.0,50.88,67.57,27.72,33.0,0.84,-223632.02,22.46,1.0
581.0,Karnataka,South,567,43.43,18.74,24.69,23.3,26.01,Severe Failure,CRISIS,49.27,19.36,47.56,40.14,55.53,44.74,59.39,0.75,492682.78,39.79,0.0
582.0,Karnataka,South,655,55.67,19.66,36.01,35.01,37.07,Severe Failure,CRISIS,58.39,20.56,48.57,40.83,56.98,61.35,51.97,1.18,343021.08,25.85,0.0
583.0,Karnataka,South,612,33.31,21.48,11.84,10.68,13.02,Severe Failure,CRISIS,66.51,15.73,52.13,44.1,60.61,29.33,54.22,0.54,476724.23,26.81,0.0
584.0,Karnataka,South,700,38.37,24.79,13.59,12.48,14.79,Severe Failure,CRISIS,78.44,10.38,58.33,49.92,66.99,40.46,30.12,1.34,379579.91,27.35,0.0
585.0,Goa,West,922,23.31,29.84,-6.53,-8.54,-4.78,Outperforming,VULNERABLE,90.63,0.41,57.25,48.64,65.97,24.87,,,1145861.03,57.2,0.58
586.0,Goa,West,927,16.26,27.22,-10.96,-12.76,-9.28,Outperforming,VULNERABLE,95.94,0.28,59.24,50.58,68.0,16.74,,,1201023.99,62.99,0.0
587.0,Lakshadweep,South,869,25.5,10.89,14.62,11.55,17.41,Severe Failure,RESILIENT POOR,30.72,0.7,33.6,25.44,42.39,41.39,,,902149.1,80.22,0.0
588.0,Kerala,South,899,26.22,11.65,14.56,12.83,16.45,Severe Failure,RESILIENT POOR,27.86,30.59,30.98,23.97,39.35,23.98,21.08,1.14,735872.33,39.09,0.0
589.0,Kerala,South,895,18.78,5.38,13.4,10.58,16.38,Severe Failure,RESILIENT POOR,9.81,6.64,25.38,17.46,34.16,18.74,23.17,0.81,978346.41,65.47,0.0
590.0,Kerala,South,847,16.44,16.01,0.43,-1.64,2.44,As Expected,RESILIENT POOR,40.79,7.64,40.14,31.95,48.9,12.99,4.35,2.99,532880.12,4.2,0.0
591.0,Kerala,South,860,35.94,9.69,26.25,23.52,28.98,Severe Failure,RESILIENT POOR,23.96,4.97,30.92,22.95,39.67,51.77,16.14,3.21,1025256.07,67.82,0.01
592.0,Kerala,South,873,12.49,8.64,3.85,1.8,6.01,As Expected,RESILIENT POOR,15.76,4.26,28.24,20.07,37.04,13.68,20.23,0.68,894488.57,49.25,0.36
593.0,Kerala,South,869,17.72,14.9,2.82,1.38,4.27,As Expected,RESILIENT POOR,39.88,12.02,38.8,30.81,47.54,15.18,17.3,0.88,582227.66,25.21,0.03
594.0,Kerala,South,834,24.1,15.38,8.72,5.91,11.57,Moderate Failure,RESILIENT POOR,31.03,4.43,34.26,26.14,43.03,27.71,10.46,2.65,1040731.24,67.71,0.77
595.0,Kerala,South,846,26.61,21.64,4.96,2.19,7.61,As Expected,RESILIENT POOR,55.39,2.46,43.74,35.33,52.52,44.28,0.0,,1161873.12,68.26,0.9
596.0,Kerala,South,799,13.77,18.67,-4.9,-7.56,-2.5,As Expected,SAFE,35.03,8.6,35.32,27.75,43.88,15.41,31.09,0.5,475176.77,4.32,0.0
597.0,Kerala,South,823,23.8,20.07,3.73,1.41,6.62,As Expected,RESILIENT POOR,39.46,2.05,38.06,29.71,46.89,28.02,27.53,1.02,937027.26,29.78,1.0
598.0,Kerala,South,852,34.81,23.62,11.19,8.8,13.59,Severe Failure,RESILIENT POOR,51.72,5.54,44.19,35.91,52.84,40.21,3.54,11.36,893096.52,54.3,1.0
599.0,Kerala,South,811,11.42,16.54,-5.12,-8.07,-1.64,Outperforming,SAFE,20.22,3.1,29.89,21.78,38.68,28.21,0.0,,819065.08,7.91,1.0
600.0,Kerala,South,841,20.01,14.93,5.08,2.72,8.03,Moderate Failure,RESILIENT POOR,20.45,3.3,30.42,22.27,39.21,21.33,28.66,0.74,893559.88,38.66,1.0
601.0,Kerala,South,808,18.2,22.12,-3.91,-6.35,-1.37,As Expected,SAFE,44.38,4.56,39.32,31.24,47.99,22.54,7.52,3.0,861726.54,51.12,1.0
602.0,Tamil Nadu,South,662,11.8,18.1,-6.31,-8.09,-4.56,Outperforming,VULNERABLE,58.01,9.42,52.19,44.31,60.12,17.14,4.18,4.1,796492.15,64.11,0.0
603.0,Tamil Nadu,South,602,19.71,12.98,6.73,3.11,9.99,Moderate Failure,CRISIS,45.93,10.08,48.0,40.47,55.68,25.01,25.88,0.97,1233884.41,100.0,0.0
604.0,Tamil Nadu,South,687,18.99,19.17,-0.19,-1.86,1.61,As Expected,CRISIS,66.38,10.49,53.67,45.61,61.9,25.89,3.88,6.67,683200.72,62.84,0.0
605.0,Tamil Nadu,South,843,26.79,25.54,1.25,0.13,2.39,As Expected,CRISIS,84.22,7.6,58.53,50.08,67.14,29.77,11.93,2.5,461943.05,38.85,0.0
606.0,Tamil Nadu,South,850,23.95,27.39,-3.44,-4.88,-2.09,As Expected,VULNERABLE,90.19,4.24,64.52,55.75,73.22,25.81,9.89,2.61,176856.13,24.19,0.0
607.0,Tamil Nadu,South,827,19.07,28.32,-9.25,-10.89,-7.77,Outperforming,VULNERABLE,92.64,3.53,65.79,56.92,74.55,20.21,6.5,3.11,58405.99,19.02,0.0
608.0,Tamil Nadu,South,868,24.71,27.37,-2.66,-4.08,-1.24,As Expected,VULNERABLE,92.64,3.48,62.61,53.85,71.44,26.2,3.73,7.02,364469.22,48.97,0.0
609.0,Tamil Nadu,South,871,32.96,27.02,5.94,4.77,7.15,Moderate Failure,CRISIS,89.35,4.05,61.33,52.61,70.05,35.45,3.03,11.69,420706.95,40.03,0.0
610.0,Tamil Nadu,South,857,20.52,27.29,-6.77,-8.05,-5.47,Outperforming,VULNERABLE,91.77,3.25,62.46,53.6,71.27,21.0,32.74,0.64,400048.73,33.5,0.0
611.0,Tamil Nadu,South,860,24.89,25.36,-0.47,-2.01,1.13,As Expected,CRISIS,85.83,2.72,61.16,52.27,70.09,27.43,2.65,10.34,411040.6,56.62,0.0
612.0,Tamil Nadu,South,894,39.14,27.34,11.8,10.3,13.17,Severe Failure,CRISIS,90.95,3.07,65.48,56.62,74.26,41.67,12.91,3.23,111345.4,36.33,0.0
613.0,Tamil Nadu,South,851,32.29,27.99,4.3,2.78,5.71,As Expected,CRISIS,94.81,3.28,65.22,56.28,74.07,33.13,7.37,4.49,167043.74,38.0,0.0
614.0,Tamil Nadu,South,831,20.3,26.69,-6.39,-7.81,-5.01,Outperforming,VULNERABLE,91.0,4.25,62.66,53.89,71.46,21.62,10.15,2.13,302147.44,47.24,0.0
615.0,Tamil Nadu,South,836,34.45,28.24,6.21,4.48,7.92,Moderate Failure,CRISIS,93.04,3.83,64.55,55.69,73.36,35.21,28.27,1.25,162835.91,16.43,0.0
616.0,Tamil Nadu,South,775,14.21,28.83,-14.62,-16.55,-12.77,Outperforming,VULNERABLE,92.37,3.89,67.01,58.07,75.9,14.83,10.32,1.44,-120421.01,9.66,0.0
617.0,Tamil Nadu,South,823,15.09,24.87,-9.78,-10.99,-8.69,Outperforming,VULNERABLE,82.38,11.14,60.18,51.79,68.77,17.72,3.22,5.51,208934.14,31.37,0.0
618.0,Tamil Nadu,South,856,31.18,26.38,4.8,3.27,6.11,As Expected,CRISIS,88.5,9.65,62.89,54.2,71.67,33.8,9.9,3.42,-9963.57,31.55,0.0
619.0,Tamil Nadu,South,858,17.18,27.25,-10.07,-11.7,-8.58,Outperforming,VULNERABLE,89.46,9.24,63.62,54.95,72.4,18.62,4.31,4.32,3841.51,17.38,0.0
620.0,Tamil Nadu,South,817,9.22,26.89,-17.67,-19.07,-16.43,Outperforming,VULNERABLE,89.87,6.91,62.89,54.25,71.6,9.8,0.7,14.05,253469.38,32.09,0.0
621.0,Tamil Nadu,South,760,27.3,26.87,0.43,-0.84,1.59,As Expected,CRISIS,80.55,5.5,61.65,53.01,70.28,29.78,21.94,1.36,51062.23,22.32,0.0
622.0,Tamil Nadu,South,799,16.03,26.45,-10.43,-11.55,-9.2,Outperforming,VULNERABLE,84.64,5.57,60.34,51.7,69.0,15.99,17.28,0.93,321327.64,38.16,0.0
623.0,Tamil Nadu,South,817,20.03,26.46,-6.44,-8.18,-4.85,Outperforming,VULNERABLE,83.08,1.64,60.42,51.76,68.98,21.48,0.0,,603957.02,59.83,0.0
624.0,Tamil Nadu,South,914,36.63,27.36,9.27,7.77,10.75,Moderate Failure,CRISIS,95.43,1.09,65.14,56.15,74.01,38.06,,,435718.22,51.5,0.0
625.0,Tamil Nadu,South,837,32.37,26.25,6.12,4.72,7.54,Moderate Failure,CRISIS,83.47,1.94,62.98,54.24,71.55,34.43,11.73,2.94,298002.64,50.04,0.0
626.0,Tamil Nadu,South,659,40.54,27.17,13.37,12.09,14.61,Severe Failure,CRISIS,76.26,3.37,56.79,48.31,65.25,46.76,12.08,3.87,266975.68,30.72,0.0
627.0,Tamil Nadu,South,813,22.08,27.09,-5.01,-6.49,-3.62,Outperforming,VULNERABLE,87.72,4.8,59.13,50.49,67.82,23.86,0.0,,556204.4,49.92,0.0
628.0,Tamil Nadu,South,838,46.88,27.76,19.12,17.72,20.47,Severe Failure,CRISIS,94.58,1.92,63.42,54.42,72.32,49.09,4.24,11.59,377418.9,44.84,0.0
629.0,Tamil Nadu,South,777,17.49,19.1,-1.62,-3.99,0.54,As Expected,VULNERABLE,68.54,14.46,48.61,40.51,57.22,23.78,5.61,4.24,737942.86,78.43,0.0
630.0,Tamil Nadu,South,884,33.84,28.41,5.43,3.74,7.15,Moderate Failure,CRISIS,92.91,4.3,62.45,53.59,71.29,35.16,16.85,2.09,171087.65,16.88,0.0
631.0,Tamil Nadu,South,866,29.43,25.38,4.04,2.81,5.39,As Expected,CRISIS,83.45,8.85,58.2,49.61,66.9,33.96,9.98,3.4,313521.5,23.98,0.0
632.0,Tamil Nadu,South,873,41.56,27.19,14.37,12.17,16.69,Severe Failure,CRISIS,98.38,0.33,63.73,54.76,72.56,41.89,,,694591.48,76.13,0.0
633.0,Tamil Nadu,South,864,41.06,27.18,13.88,12.22,15.59,Severe Failure,CRISIS,95.54,1.77,63.76,54.77,72.68,42.65,0.0,,493617.0,58.88,0.0
634.0,Puducherry,South,905,27.2,24.89,2.31,-0.78,5.3,As Expected,CRISIS,94.41,0.24,61.42,52.7,70.11,28.67,,,943263.82,100.0,0.0
635.0,Puducherry,South,759,6.19,25.01,-18.81,-20.75,-16.86,Outperforming,VULNERABLE,89.91,3.02,59.71,51.1,68.36,6.71,5.23,1.28,909198.9,68.55,0.0
636.0,Puducherry,South,870,30.56,6.1,24.46,20.45,28.18,Severe Failure,RESILIENT POOR,22.7,5.28,30.36,22.26,39.14,49.84,47.73,1.04,1371681.77,100.0,0.0
637.0,Puducherry,South,839,5.84,25.52,-19.69,-21.1,-18.22,Outperforming,VULNERABLE,88.73,7.23,59.6,51.08,68.31,6.42,0.0,,546384.85,51.44,0.0
