district_code,idi_slope,idi_slope_se,n_obs,n_piped
166.0,0.0069,0.0058,938,248
167.0,0.0137,0.0042,954,129
168.0,0.0086,0.0046,969,262
169.0,0.0229,0.0043,906,136
170.0,0.0128,0.0045,956,156
171.0,0.0173,0.0029,938,231
172.0,0.0013,0.004,971,339
174.0,-0.0013,0.0102,898,82
175.0,0.0118,0.0064,836,112
176.0,0.0113,0.0036,963,213
182.0,0.0057,0.0072,972,53
183.0,0.0058,0.005,972,65
186.0,0.021,0.0087,957,52
187.0,-0.0001,0.0127,938,53
188.0,0.0273,0.0067,925,119
190.0,0.0244,0.0055,939,55
192.0,0.0415,0.0044,954,147
193.0,-0.0043,0.0071,952,72
194.0,0.0134,0.0056,970,52
195.0,0.0125,0.0074,961,74
196.0,0.0236,0.0047,925,104
197.0,0.0167,0.0066,920,213
198.0,-0.0003,0.0104,864,94
199.0,0.0068,0.0059,919,131
200.0,0.0172,0.0056,871,98
201.0,-0.0004,0.0038,944,304
202.0,-0.0062,0.0046,943,370
922.0,0.0048,0.0039,943,275
923.0,-0.0061,0.0057,660,191
924.0,0.0285,0.0047,969,376
925.0,0.005,0.0041,951,374
926.0,0.0034,0.0055,930,309
927.0,0.0041,0.0034,968,236
928.0,0.0099,0.0048,961,256
929.0,0.0011,0.0054,944,391
205.0,0.0054,0.0057,941,93
210.0,0.0,0.0042,928,133
211.0,0.0012,0.0038,896,98
212.0,0.0151,0.0029,887,143
214.0,-0.032,0.0231,901,56
215.0,-0.0114,0.0119,909,57
216.0,0.0102,0.0064,908,107
217.0,0.003,0.0081,909,109
219.0,0.0015,0.0028,934,238
220.0,0.0102,0.0023,910,228
221.0,0.004,0.0039,892,142
222.0,0.0054,0.0037,933,80
224.0,0.0034,0.0039,925,176
225.0,0.0091,0.0034,936,147
226.0,0.0042,0.0036,932,145
227.0,0.0105,0.0032,915,150
228.0,0.0085,0.0029,947,342
229.0,0.0044,0.003,949,424
230.0,0.0038,0.0032,883,275
231.0,-0.0075,0.0048,972,134
232.0,0.0099,0.0035,972,135
233.0,0.0002,0.0048,949,114
234.0,0.0025,0.0061,965,72
235.0,0.0216,0.0039,968,80
236.0,0.0065,0.0041,957,157
237.0,0.017,0.0038,957,152
238.0,-0.0056,0.005,912,93
239.0,0.0088,0.0023,944,214
240.0,0.0139,0.0037,964,120
241.0,0.0055,0.0034,870,725
242.0,-0.0135,0.0038,893,645
243.0,-0.0015,0.0034,874,760
244.0,0.0065,0.0035,840,698
245.0,0.0102,0.0139,903,902
246.0,-0.0203,0.0096,958,944
247.0,0.0211,0.0059,930,879
248.0,0.0161,0.0039,941,786
249.0,0.0048,0.0041,976,916
252.0,-0.0158,0.0108,932,929
253.0,0.005,0.0036,885,349
255.0,-0.0,0.0059,966,939
257.0,0.0063,0.0076,925,896
258.0,0.0087,0.0027,966,749
260.0,-0.0138,0.0031,901,788
801.0,0.009,0.0031,949,790
803.0,0.0023,0.0062,542,512
804.0,-0.0025,0.0031,913,731
805.0,0.0066,0.0029,676,532
806.0,-0.0049,0.0045,950,90
807.0,0.0293,0.0061,956,880
808.0,0.0207,0.005,936,871
809.0,0.0155,0.007,943,925
261.0,0.0138,0.0064,658,616
262.0,0.0102,0.0038,743,562
263.0,0.0,0.0057,771,693
264.0,0.0283,0.0071,529,422
265.0,0.0211,0.0041,864,460
266.0,0.0037,0.0063,861,813
267.0,0.0065,0.0036,807,707
268.0,0.0198,0.0079,356,299
269.0,0.0051,0.0043,784,720
270.0,0.0322,0.0043,693,509
271.0,0.013,0.0039,801,567
272.0,0.0212,0.0033,670,299
273.0,-0.0018,0.0029,579,267
274.0,0.0226,0.0045,472,118
275.0,0.0255,0.004,690,352
276.0,0.0263,0.0036,752,262
277.0,0.0445,0.0059,734,298
278.0,0.0396,0.0048,674,219
279.0,0.0056,0.0032,530,235
280.0,0.0166,0.004,481,200
281.0,-0.0019,0.0065,770,662
282.0,-0.0016,0.0103,842,794
283.0,0.0087,0.0119,791,766
284.0,0.0378,0.0154,839,819
