district_code,district_name,state_name,state_code,n_households,total_weighted_pop,disruption_rate_pct,disruption_count,piped_water_coverage_pct,tube_well_coverage_pct,improved_source_coverage_pct,most_disrupted_source,most_disrupted_source_rate,mean_wvi_score,pct_high_vulnerability,mean_cci_score,pct_low_coping,mean_idi_score,pct_high_idi,mean_wealth_score,pct_urban,pct_poorest_quintile,pct_richest_quintile,pct_women_fetch_water,pct_children_fetch_water,mean_time_to_water_min,pct_has_electricity,pct_has_vehicle,pct_improved_sanitation,reliability_gap,expected_disruption_pct,district_typology
851.0,Botad,Gujarat,24.0,856,317.18878400000006,72.17560914764249,601,78.61313280232505,4.97068048913104,99.38701678682305,Community RO Plant,0.8390173471964848,35.474282549680176,13.317757009345794,65.2350116105516,13.200934579439252,5.6566150869950045,0.11682242990654204,467291.243180941,38.41722064169835,5.607476635514018,19.042056074766357,1.194152249721415,0.1058218376347128,0.21189904369380222,99.4686435696919,70.4883108351019,80.17931995981294,49.46617040806651,22.70943873957598,High Coverage High Disruption (Reliability Gap)
478.0,Porbandar,Gujarat,24.0,861,293.77137300000004,69.70302412686071,598,87.6961428777473,6.763625331185688,97.29317260603199,Piped Water,0.7339521491068437,32.58703291943876,14.982578397212542,67.94906460244368,12.543554006968641,6.010633435681972,0.11614401858304298,782923.6828815582,52.77733749775545,1.8583042973286876,36.469221835075494,3.1691760517455174,0.0,0.6482121285520901,99.65722357841858,69.5332516282994,87.72969720232065,46.517341929710796,23.185682197149912,High Coverage High Disruption (Reliability Gap)
853.0,Devbhumi Dwarka,Gujarat,24.0,869,332.622208,64.55297807415191,558,89.8318536205496,2.8301017711962273,95.61789812903895,Tanker/Cart,0.8971372907649778,38.16883020878124,17.14614499424626,62.75099493167965,14.844649021864212,5.950182385296414,0.11507479861910241,413052.27046264155,36.08577723108614,3.33716915995397,13.693901035673187,1.3460168600648577,0.108523421262359,0.32587918783823355,98.67719145199109,64.06353721276481,78.9564198311136,42.537624402367804,22.015353671784105,High Coverage High Disruption (Reliability Gap)
802.0,Kra Daadi,Arunachal Pradesh,12.0,515,14.197411999999998,59.531399102878765,303,99.50268401029709,0.0,99.84402791156586,Piped Water,0.5982893797791236,49.076720500042214,41.94174757281554,55.47725062292553,31.844660194174757,6.136784295616695,9.12621359223301,-221845.37186650638,0.0,14.563106796116504,2.3300970873786406,0.0,0.0,0.0,99.66791130665223,49.16724259322757,96.30982040952253,39.05662593992302,20.474773162955746,High Coverage High Disruption (Reliability Gap)
499.0,Jalgaon,Maharashtra,27.0,801,1945.336334,59.14855842095221,474,82.54377492133963,7.444567320768501,96.62088905393362,Other Source,1.0,40.015482129780146,20.973782771535582,60.6741305608871,22.846441947565545,5.537819085427105,0.7490636704119851,289145.8856169013,29.934349080018773,11.860174781523096,17.353308364544322,3.569392952077561,0.3821914940905021,0.8679458330623049,96.36252607000347,47.34792199691675,62.85446925703696,37.50861473403287,21.639943686919345,High Coverage High Disruption (Reliability Gap)
805.0,Longding,Arunachal Pradesh,12.0,676,12.438231000000002,54.491012427731874,367,78.9073783884541,5.1970412834429585,84.70300961607803,Protected Spring,0.7434218454987347,51.48272400622162,52.366863905325445,49.60904324215266,41.27218934911242,5.1608944230091875,0.14792899408284024,-680332.4611176621,14.985909169881154,49.40828402366864,0.2958579881656805,12.439309094677528,1.2614092791812597,3.270927915714059,98.56149962161018,47.43419703332411,90.78530540235182,37.290825755618386,17.20018667211349,High Coverage High Disruption (Reliability Gap)
501.0,Akola,Maharashtra,27.0,885,966.0130459999999,56.89982431148244,498,82.21326433307817,15.16958239920085,98.78780415559729,Other Source,1.0,36.81130697066446,16.72316384180791,60.556663607876224,20.903954802259886,5.5802264289503185,1.2429378531073447,352154.085999822,39.42793894731727,10.16949152542373,19.774011299435028,7.2052828156111675,0.0,1.7060558414032019,96.79364268130183,52.13516019120098,79.98638902439832,35.233769254684,21.66605505679844,High Coverage High Disruption (Reliability Gap)
245.0,Tawang,Arunachal Pradesh,12.0,903,20.548102,56.925398754590574,530,99.88293322663085,0.0,99.88293322663085,Piped Water,0.5699211758772526,43.12961375896061,19.82281284606866,56.19626028584505,19.93355481727575,6.236445731094774,5.094130675526024,253676.12879379318,11.179407227003255,1.8826135105204873,2.547065337763012,0.4088114804958628,0.0,0.17282107126001223,99.65402157337938,40.411990362905534,94.03152174346808,34.93665770892373,21.988741045666842,High Coverage High Disruption (Reliability Gap)
582.0,Chikkaballapura,Karnataka,29.0,655,495.54142,55.66811650174469,364,58.38947347731295,20.555528335048155,93.77785150633825,Other Source,1.0,39.084156844430446,25.80152671755725,59.17693002778517,19.84732824427481,4.827676507848728,5.801526717557252,343021.07736579917,25.847736199327187,5.9541984732824424,10.839694656488549,4.712093088000595,0.0,1.3384277241648133,99.84301715888856,61.11932782531074,89.28515138048398,33.54182175975377,22.126294741990915,High Coverage High Disruption (Reliability Gap)
863.0,Surendranagar,Gujarat,24.0,809,701.655399,54.772625073180706,435,85.05126731020849,5.161760181937972,97.37257975549333,Protected Spring,1.0,40.41200378829516,24.2274412855377,60.843346811788635,20.395550061804695,5.715797277004919,0.4944375772558714,304368.28508301976,27.016548047683447,4.8207663782447465,12.73176761433869,6.4586602005181755,1.2499691461791205,2.9671127863722178,98.96856718977516,61.21946750672691,69.57844857971371,32.93133544217909,21.841289631001615,High Coverage High Disruption (Reliability Gap)
